"","Ibovespa","Variação","Quantidade"
"1",62131.8007929,0.7,2704470
"2",61700.2909525,0.06,2557488
"3",61665.367897,-0.65,2448153
"4",62070.9822173,0.78,3415517
"5",61589.0573096,-0.36,2928715
"6",61813.8299227,3.73,3431249
"7",59588.7017622,-1.06,833734
"8",60227.288437,0.75,2185101
"9",59781.6316846,1.85,2021084
"10",58696.692253,0.13,1674851
"11",58620.2595465,1.18,701234
"12",57937.1073061,1.19,2222063
"13",57255.2209572,-0.68,2896660
"14",57646.5200422,0.11,2537956
"15",57582.8938702,0.83,2756108
"16",57110.9948211,-2.19,3501488
"17",58389.0419207,-0.01,3797794
"18",58396.1632881,0.32,3679759
"19",58212.1170795,-1.8,3976328
"20",59280.5696532,0.17,3700063
"21",59178.61,-2.19,3244430
"22",60500.6178743,-0.29,3443075
"23",60676.5673371,-1.2,3027364
"24",61414.4034251,0.53,3960543
"25",61088.245795,2.1,3717962
"26",59831.7278163,-0.8,2949695
"27",60316.1285304,1.36,4478629
"28",59506.5404558,-3.88,5518253
"29",61906.3570518,1.51,4729190
"30",60986.5150476,-2.97,3529830
"31",62855.4951392,2.11,2837051
"32",61559.0765496,0.27,2735806
"33",61395.5310182,-0.95,1647055
"34",61985.90568,0.05,3597646
"35",61954.473996,1.45,4110364
"36",61070.270734,1.85,3628988
"37",59961.7634759,0.32,3569494
"38",59770.4709143,-1.63,3640514
"39",60759.3167361,1.85,4724593
"40",59657.4649214,0.8,5575802
"41",59183.5078887,-3.3,7806992
"42",61200.9561073,-3.25,7859535
"43",63258.2670262,-1.4,5804173
"44",64157.6786235,0.17,3366093
"45",64051.650657,3.98,3428794
"46",61598.3933837,-0.25,4095375
"47",61750.1722429,-2.49,4251455
"48",63326.4172096,-2.46,4644880
"49",64924.5152318,0.96,3934907
"50",64307.632657,0.09,3905701
"51",64249.5045928,0.66,3698479
"52",63825.6874693,-0.06,4432230
"53",63866.2001745,-0.3,4039306
"54",64059.8918574,-0.08,3777179
"55",64108.082337,0.42,3776177
"56",63837.8513018,0.52,3527265
"57",63505.6069126,-0.43,3725754
"58",63782.2072696,1.73,4390419
"59",62696.1093381,1.5,3444019
"60",61767.2176973,1.06,3805449
"61",61118.5803923,0.16,5105858
"62",61021.8484958,-1.05,3678860
"63",61668.3299136,0.92,3027672
"64",61108.9825206,0.77,4374987
"65",60644.2407943,0.65,3615742
"66",60254.340041,1.54,3483419
"67",59339.2288275,-0.21,4015012
"68",59461.2288289,1.87,2859908
"69",58367.0455106,0.03,2946646
"70",58350.5680217,-1.69,3299308
"71",59355.7687589,1.67,3333392
"72",58382.4873912,0.57,3044748
"73",58053.5302753,-1.1,2173986
"74",58697.0019566,-0.5,2896796
"75",58994.1676549,1.03,3469404
"76",58393.9227319,1.14,4010040
"77",57736.4565088,0.67,3090893
"78",57350.3751125,0.47,2774284
"79",57079.759492,-1.43,3825455
"80",57909.4883781,1.49,2899041
"81",57059.4610611,0.42,3432060
"82",56820.7743209,-3.01,4513204
"83",58586.1137721,1.01,3638408
"84",57999.7273295,-3.71,4116395
"85",60231.6548994,0.17,3962758
"86",60129.4376372,0.95,3247893
"87",59566.3448236,-0.08,1824916
"88",59616.3968456,2.37,3888064
"89",58236.2688977,0.58,3801600
"90",57901.1076763,-1.15,4203803
"91",58575.4227449,-0.06,2813803
"92",58610.3915718,1.55,2845019
"93",57716.2483553,-0.01,3723300
"94",57722.1358826,0.01,3066187
"95",57717.8814304,-0.52,3320958
"96",58020.0335992,0.41,3748446
"97",57781.2428132,-2.23,3230413
"98",59098.9207265,-0.11,2743994
"99",59166.0152107,-0.27,3720310
"100",59323.829989,0.8,4309148
"101",58855.4322122,-0.49,3994158
"102",59145.9769487,1.45,3599967
"103",58298.4075742,0,3929724
"104",58299.5716464,2.42,4026545
"105",56919.7784891,-1.33,3619162
"106",57689.4157573,0.09,3144175
